"A_5_Der_relative_Fleischkonsum_in_der_Bundesrepublik_Deutschland_(1935-2000)","","","","","","","","","","","","","","","","","","","",""
"Gebiet","Früheres Bundesgebiet","Früheres Bundesgebiet","Früheres Bundesgebiet","Früheres Bundesgebiet","Früheres Bundesgebiet","Früheres Bundesgebiet","Früheres Bundesgebiet","Früheres Bundesgebiet","Früheres Bundesgebiet","Früheres Bundesgebiet","Deutschland","Deutschland","Deutschland","Deutschland","Deutschland","Deutschland","Deutschland","Deutschland","Deutschland","Deutschland"
"Fleischarten","Rindfleisch (ohne Fett)","Kalbfleisch","Schweinefleisch","Schaffleisch","Pferdefleisch","Hauptfleischarten","Innereien","Geflügel","Sonstige Fleischarten","Fleischverbrauch insgesamt","Rindfleisch (ohne Fett)","Kalbfleisch","Schweinefleisch","Pferdefleisch","Hauptfleischarten","Innereien","Geflügel","Sonstige Fleischarten","Fleischverbrauch insgesamt","Schaf- und Ziegenfleisch"
"Tabelle","Tab. 24","Tab. 24","Tab. 24","Tab. 24","Tab. 24","Tab. 24","Tab. 24","Tab. 24","Tab. 24","Tab. 24","Tab. 24","Tab. 24","Tab. 24","Tab. 24","Tab. 24","Tab. 24","Tab. 24","Tab. 24","Tab. 24","Tab. 24"
"Quellen","Statistisches Bundesamt Wiesbaden (Hrsg.), versch. Jg. ab 1953: Statistisches Jahrbuch für die Bundesrepublik Deutschland 1953 -1990. Stuttgart/Mainz: Kohlhammer.","Statistisches Bundesamt Wiesbaden (Hrsg.), versch. Jg. ab 1953: Statistisches Jahrbuch für die Bundesrepublik Deutschland 1953 -1990. Stuttgart/Mainz: Kohlhammer.","Statistisches Bundesamt Wiesbaden (Hrsg.), versch. Jg. ab 1953: Statistisches Jahrbuch für die Bundesrepublik Deutschland 1953 -1990. Stuttgart/Mainz: Kohlhammer.","Statistisches Bundesamt Wiesbaden (Hrsg.), versch. Jg. ab 1953: Statistisches Jahrbuch für die Bundesrepublik Deutschland 1953 -1990. Stuttgart/Mainz: Kohlhammer.","Statistisches Bundesamt Wiesbaden (Hrsg.), versch. Jg. ab 1953: Statistisches Jahrbuch für die Bundesrepublik Deutschland 1953 -1990. Stuttgart/Mainz: Kohlhammer.","Statistisches Bundesamt Wiesbaden (Hrsg.), versch. Jg. ab 1953: Statistisches Jahrbuch für die Bundesrepublik Deutschland 1953 -1990. Stuttgart/Mainz: Kohlhammer.","Statistisches Bundesamt Wiesbaden (Hrsg.), versch. Jg. ab 1953: Statistisches Jahrbuch für die Bundesrepublik Deutschland 1953 -1990. Stuttgart/Mainz: Kohlhammer.","Statistisches Bundesamt Wiesbaden (Hrsg.), versch. Jg. ab 1953: Statistisches Jahrbuch für die Bundesrepublik Deutschland 1953 -1990. Stuttgart/Mainz: Kohlhammer.","Statistisches Bundesamt Wiesbaden (Hrsg.), versch. Jg. ab 1953: Statistisches Jahrbuch für die Bundesrepublik Deutschland 1953 -1990. Stuttgart/Mainz: Kohlhammer.","Statistisches Bundesamt Wiesbaden (Hrsg.), versch. Jg. ab 1953: Statistisches Jahrbuch für die Bundesrepublik Deutschland 1953 -1990. Stuttgart/Mainz: Kohlhammer.","Statistisches Bundesamt Wiesbaden (Hrsg.), versch. Jg. ab 1995: Statistisches Jahrbuch für die Bundesrepublik Deutschland 1995 -2000. Stuttgart/Mainz: Metzler-Poeschel.","Statistisches Bundesamt Wiesbaden (Hrsg.), versch. Jg. ab 1995: Statistisches Jahrbuch für die Bundesrepublik Deutschland 1995 -2000. Stuttgart/Mainz: Metzler-Poeschel.","Statistisches Bundesamt Wiesbaden (Hrsg.), versch. Jg. ab 1995: Statistisches Jahrbuch für die Bundesrepublik Deutschland 1995 -2000. Stuttgart/Mainz: Metzler-Poeschel.","Statistisches Bundesamt Wiesbaden (Hrsg.), versch. Jg. ab 1995: Statistisches Jahrbuch für die Bundesrepublik Deutschland 1995 -2000. Stuttgart/Mainz: Metzler-Poeschel.","Statistisches Bundesamt Wiesbaden (Hrsg.), versch. Jg. ab 1995: Statistisches Jahrbuch für die Bundesrepublik Deutschland 1995 -2000. Stuttgart/Mainz: Metzler-Poeschel.","Statistisches Bundesamt Wiesbaden (Hrsg.), versch. Jg. ab 1995: Statistisches Jahrbuch für die Bundesrepublik Deutschland 1995 -2000. Stuttgart/Mainz: Metzler-Poeschel.","Statistisches Bundesamt Wiesbaden (Hrsg.), versch. Jg. ab 1995: Statistisches Jahrbuch für die Bundesrepublik Deutschland 1995 -2000. Stuttgart/Mainz: Metzler-Poeschel.","Statistisches Bundesamt Wiesbaden (Hrsg.), versch. Jg. ab 1995: Statistisches Jahrbuch für die Bundesrepublik Deutschland 1995 -2000. Stuttgart/Mainz: Metzler-Poeschel.","Statistisches Bundesamt Wiesbaden (Hrsg.), versch. Jg. ab 1995: Statistisches Jahrbuch für die Bundesrepublik Deutschland 1995 -2000. Stuttgart/Mainz: Metzler-Poeschel.","Statistisches Bundesamt Wiesbaden (Hrsg.), versch. Jg. ab 1995: Statistisches Jahrbuch für die Bundesrepublik Deutschland 1995 -2000. Stuttgart/Mainz: Metzler-Poeschel."
"Anmerkungen","Angaben in kg pro Kopf der Bevölkerung. Jahresangaben entsprechen Wirtschaftsjahren: 1935 entspricht dem WJ 1935/38; 1947 entspricht dem WJ 1947/48; usf. 1935: Juli 1935-Juni 1938; Bundesgebiet ohne West-Berlin. Ab 1947/48:  Bundesgebiet einschl. West-Berlin (ohne Saarland). Ab 1960: Bundesgebiet einschl. West-Berlin (mit Saarland). Erzeugung und Einfuhrüberschuß einschl. Abfall und Verlust.","Angaben in kg pro Kopf der Bevölkerung. Jahresangaben entsprechen Wirtschaftsjahren: 1935 entspricht dem WJ 1935/38; 1947 entspricht dem WJ 1947/48; usf. 1935: Juli 1935-Juni 1938; Bundesgebiet ohne West-Berlin. Ab 1947/48:  Bundesgebiet einschl. West-Berlin (ohne Saarland). Ab 1960: Bundesgebiet einschl. West-Berlin (mit Saarland). Erzeugung und Einfuhrüberschuß einschl. Abfall und Verlust.","Angaben in kg pro Kopf der Bevölkerung. Jahresangaben entsprechen Wirtschaftsjahren: 1935 entspricht dem WJ 1935/38; 1947 entspricht dem WJ 1947/48; usf. 1935: Juli 1935-Juni 1938; Bundesgebiet ohne West-Berlin. Ab 1947/48:  Bundesgebiet einschl. West-Berlin (ohne Saarland). Ab 1960: Bundesgebiet einschl. West-Berlin (mit Saarland). Erzeugung und Einfuhrüberschuß einschl. Abfall und Verlust.","Angaben in kg pro Kopf der Bevölkerung. Ab 1974: Schaf- und Ziegenfleisch. Jahresangaben entsprechen Wirtschaftsjahren: 1935 entspricht dem WJ 1935/38; 1947 entspricht dem WJ 1947/48; usf. 1935: Juli 1935-Juni 1938; Bundesgebiet ohne West-Berlin. Ab 1947/48:  Bundesgebiet einschl. West-Berlin (ohne Saarland). Ab 1960: Bundesgebiet einschl. West-Berlin (mit Saarland). Erzeugung und Einfuhrüberschuß einschl. Abfall und Verlust.","Angaben in kg pro Kopf der Bevölkerung. Ab 1963 als 'Sonstiges Fleisch' ausgewiesen. Jahresangaben entsprechen Wirtschaftsjahren: 1935 entspricht dem WJ 1935/38; 1947 entspricht dem WJ 1947/48; usf. 1935: Juli 1935-Juni 1938; Bundesgebiet ohne West-Berlin. Ab 1947/48: Bundesgebiet einschl. West-Berlin (ohne Saarland). Ab 1960: Bundesgebiet einschl. West-Berlin (mit Saarland). Erzeugung und Einfuhrüberschuß einschl. Abfall und Verlust.","Angaben in kg pro Kopf der Bevölkerung. Jahresangaben entsprechen Wirtschaftsjahren: 1935 entspricht dem WJ 1935/38; 1947 entspricht dem WJ 1947/48; usf. 1935: Juli 1935-Juni 1938; Bundesgebiet ohne West-Berlin. Ab 1947/48:  Bundesgebiet einschl. West-Berlin (ohne Saarland). Ab 1960: Bundesgebiet einschl. West-Berlin (mit Saarland). Erzeugung und Einfuhrüberschuß einschl. Abfall und Verlust.","Angaben in kg pro Kopf der Bevölkerung. Jahresangaben entsprechen Wirtschaftsjahren: 1935 entspricht dem WJ 1935/38; 1947 entspricht dem WJ 1947/48; usf. 1935: Juli 1935-Juni 1938; Bundesgebiet ohne West-Berlin. Ab 1947/48:  Bundesgebiet einschl. West-Berlin (ohne Saarland). Ab 1960: Bundesgebiet einschl. West-Berlin (mit Saarland). Erzeugung und Einfuhrüberschuß einschl. Abfall und Verlust.","Angaben in kg pro Kopf der Bevölkerung. Jahresangaben entsprechen Wirtschaftsjahren: 1935 entspricht dem WJ 1935/38; 1947 entspricht dem WJ 1947/48; usf. 1935: Juli 1935-Juni 1938; Bundesgebiet ohne West-Berlin. Ab 1947/48:  Bundesgebiet einschl. West-Berlin (ohne Saarland). Ab 1960: Bundesgebiet einschl. West-Berlin (mit Saarland). Erzeugung und Einfuhrüberschuß einschl. Abfall und Verlust.","Angaben in kg pro Kopf der Bevölkerung. 1947-1950 : Ziegen-, Geflügel-, Kaninchen-, Wildfleisch. Ab 1963: Pferde- , Ziegen-, Kaninchen-, Wildfleisch. Ab 1974: Kaninchen-, Wildfleisch. Jahresangaben entsprechen Wirtschaftsjahren: 1935 entspricht dem WJ 1935/38; 1947 entspricht dem WJ 1947/48; usf. 1935: Juli 1935-Juni 1938; Bundesgebiet ohne West-Berlin. Ab 1947/48:  Bundesgebiet einschl. West-Berlin (ohne Saarland). Ab 1960: Bundesgebiet einschl. West-Berlin (mit Saarland). Erzeugung und Einfuhrüberschuß einschl. Abfall und Verlust.","Angaben in kg pro Kopf der Bevölkerung. Jahresangaben entsprechen Wirtschaftsjahren: 1935 entspricht dem WJ 1935/38; 1947 entspricht dem WJ 1947/48; usf. 1935: Juli 1935-Juni 1938; Bundesgebiet ohne West-Berlin. Ab 1947/48:  Bundesgebiet einschl. West-Berlin (ohne Saarland). Ab 1960: Bundesgebiet einschl. West-Berlin (mit Saarland). Erzeugung und Einfuhrüberschuß einschl. Abfall und Verlust.","Angaben in kg pro Kopf der Bevölkerung. Ab 1993: Rind- und Kalbfleisch zusammen. Erzeugung und Einfuhrüberschuß einschl. Abfall und Verlust.","Angaben in kg pro Kopf der Bevölkerung. Ab 1993: Angaben in 'Rindfleisch' enthalten. Erzeugung und Einfuhrüberschuß einschl. Abfall und Verlust.","Angaben in kg pro Kopf der Bevölkerung. Erzeugung und Einfuhrüberschuß einschl. Abfall und Verlust.","Angaben in kg pro Kopf der Bevölkerung. Erzeugung und Einfuhrüberschuß einschl. Abfall und Verlust.","Angaben in kg pro Kopf der Bevölkerung. Erzeugung und Einfuhrüberschuß einschl. Abfall und Verlust.","Angaben in kg pro Kopf der Bevölkerung. Erzeugung und Einfuhrüberschuß einschl. Abfall und Verlust.","Angaben in kg pro Kopf der Bevölkerung. Erzeugung und Einfuhrüberschuß einschl. Abfall und Verlust.","Angaben in kg pro Kopf der Bevölkerung. Wild- und Kaninchenfleisch. Erzeugung und Einfuhrüberschuß einschl. Abfall und Verlust.","Angaben in kg pro Kopf der Bevölkerung. Erzeugung und Einfuhrüberschuß einschl. Abfall und Verlust.","Angaben in kg pro Kopf der Bevölkerung. Erzeugung und Einfuhrüberschuß einschl. Abfall und Verlust."
"1935","14,8","3,2","29,2","0,3","0,5","48","1,9","1,7","1,2","52,8","","","","","","","","","",""
"1947","8,3","1,4","8,2","0,3","0,5","18,7","0,7","","0,9","20,3","","","","","","","","","",""
"1948","6,6","1,3","7,1","0,4","1","16,4","0,6","","1,1","18,1","","","","","","","","","",""
"1949","10","1,6","16","0,8","0,6","29","1,1","","1,5","31,6","","","","","","","","","",""
"1950","11,4","1,9","19,4","0,5","0,8","34","1,3","","1,7","37","","","","","","","","","",""
"1951","10,8","1,8","21,8","0,4","0,7","35,5","1,5","1,2","0,4","38,6","","","","","","","","","",""
